Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instentity,Human
DATE,499,0.0,0.4729458917835671,0.16429229737786497,0.8897795591182365,0.627254509018036,0.6172344689378757
CARDINAL,169,0.011834319526627219,0.4556213017751479,0.13452392183724643,0.9408284023668639,0.5266272189349113,0.621301775147929
QUANTITY,19,0.0,0.2631578947368421,0.20754334845006384,1.0,0.6842105263157895,0.7368421052631579
ORDINAL,13,0.0,0.46153846153846156,0.13914566355742825,0.9230769230769231,0.46153846153846156,0.5384615384615384
MONEY,11,0.0,0.36363636363636365,0.1321811591404068,1.0,0.45454545454545453,0.5454545454545454
PERCENT,10,0.0,0.4,0.1318402430902431,0.9,0.5,0.5
TIME,7,0.0,0.14285714285714285,0.10776763488384722,1.0,0.2857142857142857,0.42857142857142855
PERSON,1035,0.04830917874396135,0.5458937198067633,0.19861588076695427,0.8792270531400966,0.5468599033816425,0.6086956521739131
GPE,288,0.020833333333333332,0.6180555555555556,0.17920613213045922,0.8784722222222222,0.6909722222222222,0.75
ORG,198,0.03535353535353535,0.5909090909090909,0.1993180997946404,0.8838383838383839,0.5757575757575758,0.696969696969697
NORP,80,0.0,0.475,0.13126353431568025,0.8875,0.6,0.7
LOC,46,0.08695652173913043,0.5,0.23409659928592558,0.8478260869565217,0.6739130434782609,0.7391304347826086
unknown,586,0.025597269624573378,0.447098976109215,0.12693152505185856,0.8276450511945392,0.6092150170648464,0.7218430034129693
Overall,2961,0.028368794326241134,0.5119891928402567,0.17098634632015727,0.8760553866936845,0.5903411009793988,0.6568726781492739
