Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero
DATE,499,0.8677354709418837,0.9198396793587175,0.9398797595190381,0.9258517034068137,0.9378757515030061
CARDINAL,169,0.9289940828402367,0.9408284023668639,0.9644970414201184,0.893491124260355,0.893491124260355
QUANTITY,19,0.7894736842105263,0.8421052631578947,0.7894736842105263,0.8421052631578947,0.8421052631578947
ORDINAL,13,0.7692307692307693,0.8461538461538461,0.9230769230769231,0.9230769230769231,0.8461538461538461
MONEY,11,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.9090909090909091
PERCENT,10,0.8,1.0,0.9,0.8,0.9
TIME,7,0.7142857142857143,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571
PERSON,1035,0.9188405797101449,0.9285024154589372,0.978743961352657,0.9758454106280193,0.9565217391304348
GPE,288,0.8680555555555556,0.8958333333333334,0.9513888888888888,0.9583333333333334,0.9270833333333334
ORG,198,0.8636363636363636,0.898989898989899,0.9646464646464646,0.9444444444444444,0.9090909090909091
NORP,80,0.725,0.7625,0.8625,0.9,0.95
LOC,46,0.782608695652174,0.8043478260869565,0.9347826086956522,0.9130434782608695,0.8260869565217391
Overall,2375,0.8850526315789473,0.9107368421052632,0.9574736842105264,0.9477894736842105,0.9355789473684211
