Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instrandom
DATE,499,0.7535070140280561,0.8396793587174348,0.8897795591182365,0.8537074148296593,0.8697394789579158
CARDINAL,169,0.727810650887574,0.7751479289940828,0.7928994082840237,0.757396449704142,0.8520710059171598
QUANTITY,19,0.3684210526315789,0.5263157894736842,0.5789473684210527,0.5789473684210527,0.631578947368421
ORDINAL,13,0.7692307692307693,0.8461538461538461,0.8461538461538461,0.7692307692307693,0.8461538461538461
MONEY,11,0.7272727272727273,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.9090909090909091
PERCENT,10,0.7,0.8,1.0,0.8,1.0
TIME,7,0.7142857142857143,0.7142857142857143,1.0,0.8571428571428571,1.0
PERSON,1035,0.7971014492753623,0.8946859903381642,0.9111111111111111,0.9449275362318841,0.8695652173913043
GPE,288,0.5416666666666666,0.7604166666666666,0.7361111111111112,0.8506944444444444,0.7013888888888888
ORG,198,0.6565656565656566,0.7777777777777778,0.7929292929292929,0.8838383838383839,0.7323232323232324
NORP,80,0.525,0.675,0.75,0.8,0.775
LOC,46,0.41304347826086957,0.5434782608695652,0.6739130434782609,0.8260869565217391,0.5434782608695652
unknown,586,0.4931740614334471,0.6279863481228669,0.6228668941979523,0.7406143344709898,0.6296928327645052
Overall,2961,0.6744343127321851,0.789935832489024,0.8088483620398514,0.8554542384329619,0.7872340425531915
